feature,importance,absolute_importance
median,0.0,0.0
medicaid,0.0,0.0
medical,0.0,0.0
medium,0.0,0.0
meet,0.0,0.0
meeting,0.0,0.0
member,0.0,0.0
memo,0.0,0.0
men,0.0,0.0
message,0.0,0.0
mind,0.0,0.0
nominee,0.0,0.0
ready,0.0,0.0
question,0.0,0.0
teacher,0.0,0.0
team,0.0,0.0
tech,0.0,0.0
tell,0.0,0.0
temporarily,0.0,0.0
temporary,0.0,0.0
tetfund,0.0,0.0
texas,0.0,0.0
thing,0.0,0.0
think,0.0,0.0
thought,0.0,0.0
thousand,0.0,0.0
threat,0.0,0.0
thursday,0.0,0.0
tip,0.0,0.0
title,0.0,0.0
took,0.0,0.0
tool,0.0,0.0
track,0.0,0.0
trade,0.0,0.0
transfer,0.0,0.0
transgender,0.0,0.0
treatment,0.0,0.0
taxpayer,0.0,0.0
target,0.0,0.0
talk,0.0,0.0
taking,0.0,0.0
standard,0.0,0.0
start,0.0,0.0
started,0.0,0.0
statement,0.0,0.0
status,0.0,0.0
stay,0.0,0.0
steel,0.0,0.0
step,0.0,0.0
stock,0.0,0.0
stop,0.0,0.0
story,0.0,0.0
tried,0.0,0.0
strategy,0.0,0.0
strong,0.0,0.0
studentaid,0.0,0.0
study,0.0,0.0
subject,0.0,0.0
success,0.0,0.0
supply,0.0,0.0
support,0.0,0.0
sure,0.0,0.0
survey,0.0,0.0
swift,0.0,0.0
taken,0.0,0.0
street,0.0,0.0
trillion,0.0,0.0
try,0.0,0.0
trying,0.0,0.0
wanted,0.0,0.0
war,0.0,0.0
washington,0.0,0.0
watch,0.0,0.0
water,0.0,0.0
wealth,0.0,0.0
website,0.0,0.0
wednesday,0.0,0.0
week,0.0,0.0
went,0.0,0.0
west,0.0,0.0
want,0.0,0.0
win,0.0,0.0
woman,0.0,0.0
won,0.0,0.0
worked,0.0,0.0
worker,0.0,0.0
workforce,0.0,0.0
working,0.0,0.0
world,0.0,0.0
worried,0.0,0.0
worth,0.0,0.0
yes,0.0,0.0
yield,0.0,0.0
