mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2711615085601807,0.04162151303442014,0.02278609275817871,0.004284303720703035,0.5,2,linear,"{'C': 0.5, 'degree': 2, 'kernel': 'linear'}",0.6666666666666666,0.8703703703703703,0.8518518518518519,0.8703703703703703,0.6792452830188679,0.7877009084556253,0.09401673657331354,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3138711929321289,0.04220317159624281,0.03047327995300293,0.004745298115890335,0.5,2,poly,"{'C': 0.5, 'degree': 2, 'kernel': 'poly'}",0.5925925925925926,0.5555555555555556,0.5740740740740741,0.5555555555555556,0.5660377358490566,0.5687631027253668,0.013801139323223067,46,0.8744186046511628,0.6511627906976745,0.6651162790697674,0.7534883720930232,0.7175925925925926,0.732355727820844,0.07994977960700586
0.4018247127532959,0.037401612426175505,0.03849148750305176,0.0036203878146466883,0.5,2,rbf,"{'C': 0.5, 'degree': 2, 'kernel': 'rbf'}",0.6666666666666666,0.7777777777777778,0.9074074074074074,0.8148148148148148,0.6037735849056604,0.7540880503144655,0.10769652288109442,35,0.8976744186046511,0.8883720930232558,0.8837209302325582,0.9023255813953488,0.9351851851851852,0.9014556416881998,0.0181021312761757
0.2142282485961914,0.05536731210011658,0.022452735900878908,0.004721147983457076,0.5,3,linear,"{'C': 0.5, 'degree': 3, 'kernel': 'linear'}",0.6666666666666666,0.8703703703703703,0.8518518518518519,0.8703703703703703,0.6792452830188679,0.7877009084556253,0.09401673657331354,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.21850333213806153,0.05500469632920292,0.031096506118774413,0.0056196641993996295,0.5,3,poly,"{'C': 0.5, 'degree': 3, 'kernel': 'poly'}",0.5925925925925926,0.5370370370370371,0.5370370370370371,0.5555555555555556,0.5283018867924528,0.550104821802935,0.023029646708377496,50,0.6604651162790698,0.6325581395348837,0.6465116279069767,0.6651162790697674,0.6527777777777778,0.6514857881136951,0.011411275176615795
0.3352664470672607,0.053421536610633945,0.04486227035522461,0.008025216879055238,0.5,3,rbf,"{'C': 0.5, 'degree': 3, 'kernel': 'rbf'}",0.6666666666666666,0.7777777777777778,0.9074074074074074,0.8148148148148148,0.6037735849056604,0.7540880503144655,0.10769652288109442,35,0.8976744186046511,0.8883720930232558,0.8837209302325582,0.9023255813953488,0.9351851851851852,0.9014556416881998,0.0181021312761757
0.21988110542297362,0.038071164057895,0.02500452995300293,0.0025757600007924797,0.5,4,linear,"{'C': 0.5, 'degree': 4, 'kernel': 'linear'}",0.6666666666666666,0.8703703703703703,0.8518518518518519,0.8703703703703703,0.6792452830188679,0.7877009084556253,0.09401673657331354,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2712716579437256,0.11503387340527818,0.026982736587524415,0.004826683274909064,0.5,4,poly,"{'C': 0.5, 'degree': 4, 'kernel': 'poly'}",0.5925925925925926,0.5370370370370371,0.5370370370370371,0.5555555555555556,0.5283018867924528,0.550104821802935,0.023029646708377496,50,0.6511627906976745,0.627906976744186,0.627906976744186,0.6651162790697674,0.6342592592592593,0.6412704565030147,0.01464789130915422
0.3556709289550781,0.06052437857874409,0.04792327880859375,0.005485559364463539,0.5,4,rbf,"{'C': 0.5, 'degree': 4, 'kernel': 'rbf'}",0.6666666666666666,0.7777777777777778,0.9074074074074074,0.8148148148148148,0.6037735849056604,0.7540880503144655,0.10769652288109442,35,0.8976744186046511,0.8883720930232558,0.8837209302325582,0.9023255813953488,0.9351851851851852,0.9014556416881998,0.0181021312761757
0.24514393806457518,0.05089198265323864,0.02503347396850586,0.00804021586702445,1.0,2,linear,"{'C': 1.0, 'degree': 2, 'kernel': 'linear'}",0.6666666666666666,0.8703703703703703,0.8518518518518519,0.8703703703703703,0.6792452830188679,0.7877009084556253,0.09401673657331354,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.22562036514282227,0.06824924453875439,0.03270459175109863,0.013162929491270778,1.0,2,poly,"{'C': 1.0, 'degree': 2, 'kernel': 'poly'}",0.7222222222222222,0.5925925925925926,0.6296296296296297,0.7962962962962963,0.6415094339622641,0.676450034940601,0.07335296323508952,42,0.8930232558139535,0.8325581395348837,0.8046511627906977,0.9302325581395349,0.9814814814814815,0.8883893195521102,0.06413685391935296
0.3480644702911377,0.03224145542201278,0.04112114906311035,0.006334972300835206,1.0,2,rbf,"{'C': 1.0, 'degree': 2, 'kernel': 'rbf'}",0.6666666666666666,0.8148148148148148,0.9259259259259259,0.8518518518518519,0.6037735849056604,0.772606568832984,0.11941190518688583,32,0.9627906976744186,0.9534883720930233,0.9488372093023256,0.9627906976744186,0.9907407407407407,0.9637295434969854,0.014546689307116726
0.230780029296875,0.006155409048128909,0.022667646408081055,0.003701861447560166,1.0,3,linear,"{'C': 1.0, 'degree': 3, 'kernel': 'linear'}",0.6666666666666666,0.8703703703703703,0.8518518518518519,0.8703703703703703,0.6792452830188679,0.7877009084556253,0.09401673657331354,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
