mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.037154865264892575,0.006747805128064244,0.018155765533447266,0.0030256158863635947,gini,,,"{'criterion': 'gini', 'max_depth': None, 'max_features': None}",0.7222222222222222,0.7592592592592593,0.9074074074074074,0.8703703703703703,0.6415094339622641,0.7801537386443046,0.0973112736923802,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.016575145721435546,0.0011079391500135238,0.021436023712158202,0.001391649433290862,gini,,sqrt,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt'}",0.6481481481481481,0.7407407407407407,0.7592592592592593,0.6296296296296297,0.5471698113207547,0.6649895178197065,0.0775118940419344,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.020110464096069335,0.0028434135982630705,0.020458221435546875,0.002301152824633112,gini,,log2,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2'}",0.5740740740740741,0.7222222222222222,0.7407407407407407,0.6666666666666666,0.5660377358490566,0.653948287910552,0.07275186916170756,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02976384162902832,0.009024018199362042,0.011403894424438477,0.0012872088645914297,gini,5,,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None}",0.7592592592592593,0.7777777777777778,0.9259259259259259,0.8888888888888888,0.49056603773584906,0.7684835779175402,0.15277117607905902,8,0.9767441860465116,0.9906976744186047,0.9720930232558139,0.9813953488372092,0.9861111111111112,0.9814082687338501,0.006586917594071548
0.014971065521240234,0.000544662313278266,0.011980772018432617,0.0006460511609530691,gini,5,sqrt,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt'}",0.6481481481481481,0.7962962962962963,0.7592592592592593,0.46296296296296297,0.5094339622641509,0.6352201257861635,0.13190379992907172,27,0.8790697674418605,0.8372093023255814,0.813953488372093,0.7209302325581395,0.7407407407407407,0.798380706287683,0.059298967126331675
0.014970064163208008,0.0018126332778637647,0.012063932418823243,0.0006435661707490446,gini,5,log2,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2'}",0.7222222222222222,0.7777777777777778,0.9074074074074074,0.8518518518518519,0.660377358490566,0.7839273235499651,0.08828476987988901,3,0.8697674418604651,0.8930232558139535,0.8744186046511628,0.8651162790697674,0.8796296296296297,0.8763910422049956,0.0096125111518722
0.03885684013366699,0.005106688320728523,0.01359248161315918,0.0030001875281592343,gini,10,,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None}",0.6666666666666666,0.7592592592592593,0.9074074074074074,0.8703703703703703,0.6415094339622641,0.7690426275331935,0.10606921409970466,7,0.9953488372093023,1.0,1.0,1.0,1.0,0.9990697674418605,0.0018604651162790642
0.017337894439697264,0.0015793383083586487,0.014510774612426757,0.0017547540858909578,gini,10,sqrt,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt'}",0.5925925925925926,0.7407407407407407,0.8333333333333334,0.6296296296296297,0.4716981132075472,0.6535988819007688,0.12432405932451354,26,0.9534883720930233,0.9488372093023256,0.9441860465116279,0.9069767441860465,0.9351851851851852,0.9377347114556416,0.016526437248719054
0.01788816452026367,0.0007261330448035507,0.013847923278808594,0.0009968304069526536,gini,10,log2,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2'}",0.6851851851851852,0.8333333333333334,0.7962962962962963,0.8518518518518519,0.5283018867924528,0.738993710691824,0.12017230364642202,17,0.9767441860465116,0.958139534883721,0.9441860465116279,0.9627906976744186,0.9490740740740741,0.9581869078380707,0.011354625107435816
0.04488229751586914,0.004936859329308414,0.014699649810791016,0.0021533240681130827,entropy,,,"{'criterion': 'entropy', 'max_depth': None, 'max_features': None}",0.6296296296296297,0.7592592592592593,0.9074074074074074,0.9259259259259259,0.5660377358490566,0.7576519916142558,0.14411879337405273,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.01859626770019531,0.0005073951269506996,0.014443922042846679,0.0006247706964404963,entropy,,sqrt,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt'}",0.6666666666666666,0.7037037037037037,0.7777777777777778,0.8703703703703703,0.7547169811320755,0.7546470999301187,0.06966016755473453,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.019352054595947264,0.0013374978298329873,0.01620478630065918,0.0012131987288390236,entropy,,log2,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2'}",0.6851851851851852,0.7962962962962963,0.7592592592592593,0.6481481481481481,0.5849056603773585,0.6947589098532494,0.07589741978531808,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0468597412109375,0.009025182912288326,0.015816593170166017,0.0007602381059883829,entropy,5,,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None}",0.7592592592592593,0.7777777777777778,0.9259259259259259,0.9074074074074074,0.5660377358490566,0.7872816212438855,0.12921058807899338,1,0.9767441860465116,0.9906976744186047,0.9720930232558139,0.9534883720930233,0.9675925925925926,0.9721231696813092,0.012117332521668632
