feature,importance,absolute_importance
supreme,0.0,0.0
sure,0.0,0.0
survey,0.0,0.0
swift,0.0,0.0
taken,0.0,0.0
taking,0.0,0.0
talk,0.0,0.0
target,0.0,0.0
tariff,0.0,0.0
tax,0.0,0.0
taxpayer,0.0,0.0
teacher,0.0,0.0
team,0.0,0.0
tech,0.0,0.0
technology,0.0,0.0
tell,0.0,0.0
temporarily,0.0,0.0
temporary,0.0,0.0
tetfund,0.0,0.0
strong,0.0,0.0
type,0.0,0.0
ultimately,0.0,0.0
way,0.0,0.0
wealth,0.0,0.0
website,0.0,0.0
wednesday,0.0,0.0
week,0.0,0.0
went,0.0,0.0
west,0.0,0.0
white,0.0,0.0
win,0.0,0.0
wing,0.0,0.0
wo,0.0,0.0
woman,0.0,0.0
won,0.0,0.0
word,0.0,0.0
work,0.0,0.0
worked,0.0,0.0
worker,0.0,0.0
workforce,0.0,0.0
working,0.0,0.0
world,0.0,0.0
worried,0.0,0.0
worth,0.0,0.0
wrote,0.0,0.0
year,0.0,0.0
yes,0.0,0.0
yield,0.0,0.0
york,0.0,0.0
water,0.0,0.0
typically,0.0,0.0
watch,0.0,0.0
war,0.0,0.0
uncertainty,0.0,0.0
unclear,0.0,0.0
undergraduate,0.0,0.0
understand,0.0,0.0
union,0.0,0.0
united,0.0,0.0
university,0.0,0.0
update,0.0,0.0
usaid,0.0,0.0
use,0.0,0.0
used,0.0,0.0
user,0.0,0.0
using,0.0,0.0
valuable,0.0,0.0
value,0.0,0.0
vance,0.0,0.0
various,0.0,0.0
versus,0.0,0.0
vice,0.0,0.0
video,0.0,0.0
view,0.0,0.0
virginia,0.0,0.0
vote,0.0,0.0
voter,0.0,0.0
vought,0.0,0.0
want,0.0,0.0
wanted,0.0,0.0
washington,0.0,0.0
street,0.0,0.0
strategy,0.0,0.0
story,0.0,0.0
risk,0.0,0.0
road,0.0,0.0
robert,0.0,0.0
role,0.0,0.0
room,0.0,0.0
rubin,0.0,0.0
rule,0.0,0.0
ruling,0.0,0.0
run,0.0,0.0
running,0.0,0.0
rural,0.0,0.0
safe,0.0,0.0
safety,0.0,0.0
said,0.0,0.0
salary,0.0,0.0
sale,0.0,0.0
saturday,0.0,0.0
save,0.0,0.0
saving,0.0,0.0
saw,0.0,0.0
say,0.0,0.0
saying,0.0,0.0
scheduled,0.0,0.0
scheme,0.0,0.0
scholarship,0.0,0.0
school,0.0,0.0
science,0.0,0.0
rising,0.0,0.0
score,0.0,0.0
rise,0.0,0.0
review,0.0,0.0
release,0.0,0.0
released,0.0,0.0
relief,0.0,0.0
remain,0.0,0.0
remaining,0.0,0.0
remains,0.0,0.0
rep,0.0,0.0
repayment,0.0,0.0
report,0.0,0.0
reported,0.0,0.0
reporter,0.0,0.0
