mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.09608855247497558,0.01200221991349634,0.014711475372314453,0.0025774063572047683,gini,,,"{'criterion': 'gini', 'max_depth': None, 'max_features': None}",0.6605504587155964,0.5137614678899083,0.4036697247706422,0.7155963302752294,0.6055045871559633,0.5798165137614679,0.11045810600581588,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02438983917236328,0.0023010692587115585,0.013920402526855469,0.0012326101047752194,gini,,sqrt,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt'}",0.5963302752293578,0.5045871559633027,0.47706422018348627,0.6055045871559633,0.7155963302752294,0.5798165137614679,0.0843637719821846,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.023895788192749023,0.000898902918551197,0.01368570327758789,0.0007270053286456131,gini,,log2,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2'}",0.6697247706422018,0.5963302752293578,0.5412844036697247,0.7247706422018348,0.6146788990825688,0.6293577981651376,0.06292267229167797,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.059380388259887694,0.003637929320709282,0.014939212799072265,0.0014639329329315083,gini,5,,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None}",0.6238532110091743,0.5412844036697247,0.46788990825688076,0.6880733944954128,0.6513761467889908,0.5944954128440367,0.07964232812554387,11,0.8669724770642202,0.8348623853211009,0.8371559633027523,0.7798165137614679,0.7477064220183486,0.8133027522935781,0.04321675491124361
0.020960330963134766,0.0017112963959642637,0.013207435607910156,0.0007459463317598551,gini,5,sqrt,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt'}",0.6055045871559633,0.5321100917431193,0.44036697247706424,0.5229357798165137,0.5137614678899083,0.5229357798165137,0.05254246261752791,27,0.6651376146788991,0.7270642201834863,0.7454128440366973,0.6880733944954128,0.676605504587156,0.7004587155963303,0.030655109076336937
0.022060632705688477,0.0009787139067679023,0.01381063461303711,0.0016188171995660684,gini,5,log2,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2'}",0.6146788990825688,0.5596330275229358,0.45871559633027525,0.8532110091743119,0.6697247706422018,0.6311926605504586,0.1310867603632422,1,0.6926605504587156,0.7339449541284404,0.7729357798165137,0.6628440366972477,0.6536697247706422,0.7032110091743119,0.04472418254141689
0.10191693305969238,0.010504863721832007,0.01646723747253418,0.0004021108298471117,gini,10,,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None}",0.6330275229357798,0.5045871559633027,0.41284403669724773,0.6605504587155964,0.6330275229357798,0.5688073394495412,0.09498847049941127,17,0.9655963302752294,0.9357798165137615,0.9724770642201835,0.9380733944954128,0.9013761467889908,0.9426605504587157,0.025250199898207152
0.02619924545288086,0.0019582062265508875,0.016279172897338868,0.0009769536865619547,gini,10,sqrt,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt'}",0.6055045871559633,0.5229357798165137,0.45871559633027525,0.5688073394495413,0.7155963302752294,0.5743119266055047,0.08598440010172465,16,0.7591743119266054,0.8188073394495413,0.8555045871559633,0.8142201834862385,0.8004587155963303,0.8096330275229358,0.031111605427180156
0.024526166915893554,0.0006440124669775702,0.01607522964477539,0.0012755176381902193,gini,10,log2,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2'}",0.6238532110091743,0.5504587155963303,0.46788990825688076,0.6330275229357798,0.5229357798165137,0.5596330275229358,0.06222321085436026,22,0.805045871559633,0.7981651376146789,0.8532110091743119,0.7889908256880734,0.7522935779816514,0.7995412844036698,0.03242311384783905
0.14139084815979003,0.0286449249640234,0.01797490119934082,0.002230976572512637,entropy,,,"{'criterion': 'entropy', 'max_depth': None, 'max_features': None}",0.5229357798165137,0.5596330275229358,0.4954128440366973,0.6697247706422018,0.5779816513761468,0.565137614678899,0.05962596994228227,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.029953813552856444,0.0009253851294149908,0.01663522720336914,0.0018725263783571958,entropy,,sqrt,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt'}",0.6238532110091743,0.5137614678899083,0.4954128440366973,0.5779816513761468,0.6788990825688074,0.5779816513761468,0.06816211237066683,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.027645206451416014,0.00271717047841634,0.016649580001831053,0.001695604148433742,entropy,,log2,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2'}",0.6880733944954128,0.5504587155963303,0.5045871559633027,0.7064220183486238,0.6513761467889908,0.620183486238532,0.0790482907469285,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07650442123413086,0.004129159210015806,0.017050647735595705,0.00134711152899303,entropy,5,,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None}",0.6055045871559633,0.5871559633027523,0.44036697247706424,0.8440366972477065,0.5321100917431193,0.601834862385321,0.1340328981119242,9,0.805045871559633,0.841743119266055,0.8211009174311926,0.7087155963302753,0.7362385321100917,0.7825688073394496,0.05117095327480491
