mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.16691970825195312,0.012788189171349447,0.016073894500732423,0.0012965941539594484,gini,,,"{'criterion': 'gini', 'max_depth': None, 'max_features': None}",0.4370860927152318,0.5165562913907285,0.44370860927152317,0.5629139072847682,0.5133333333333333,0.494719646799117,0.047744147374481356,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.031197881698608397,0.0038674432599321443,0.014584589004516601,0.0006492404235325141,gini,,sqrt,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt'}",0.4370860927152318,0.4105960264900662,0.36423841059602646,0.6291390728476821,0.5,0.4682119205298013,0.09165907431415077,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.027896833419799805,0.0010152086104975736,0.012942361831665038,0.00044892850714222727,gini,,log2,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2'}",0.3973509933774834,0.4503311258278146,0.3973509933774834,0.4304635761589404,0.5066666666666667,0.4364326710816777,0.04053730711013832,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08498902320861816,0.008042354959170142,0.015397310256958008,0.002181842974323789,gini,5,,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None}",0.47019867549668876,0.5033112582781457,0.3443708609271523,0.6357615894039735,0.7066666666666667,0.5320618101545254,0.1273750636653596,1,0.7064676616915423,0.6699834162520729,0.703150912106136,0.6965174129353234,0.6539735099337748,0.6860185825837699,0.020522768967165348
0.024483251571655273,0.0009789442168258995,0.01420421600341797,0.000636280011683907,gini,5,sqrt,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt'}",0.423841059602649,0.44370860927152317,0.3509933774834437,0.6490066225165563,0.5666666666666667,0.4868432671081678,0.10672750191275503,15,0.5787728026533997,0.6053067993366501,0.6401326699834162,0.5406301824212272,0.5794701986754967,0.588862530614038,0.03291023879139414
0.030659866333007813,0.005339140765971551,0.01773242950439453,0.003851270860154838,gini,5,log2,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2'}",0.5364238410596026,0.423841059602649,0.4105960264900662,0.6688741721854304,0.5533333333333333,0.5186136865342164,0.09460500486035178,2,0.6102819237147595,0.6252072968490879,0.6268656716417911,0.5522388059701493,0.5811258278145696,0.5991439051980715,0.028623737078765893
0.18448801040649415,0.03555941034539991,0.024817609786987306,0.008393869597653512,gini,10,,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None}",0.4900662251655629,0.4768211920529801,0.47019867549668876,0.5827814569536424,0.5533333333333333,0.5146401766004415,0.04505462499635171,5,0.857379767827529,0.8275290215588723,0.8606965174129353,0.8640132669983416,0.8741721854304636,0.8567581518456283,0.01565965803371045
0.03434996604919434,0.003610089279362839,0.016808557510375976,0.0005116097267446325,gini,10,sqrt,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt'}",0.46357615894039733,0.3841059602649007,0.44370860927152317,0.6158940397350994,0.36666666666666664,0.45479028697571744,0.08822296841413882,24,0.7545605306799337,0.714759535655058,0.7429519071310116,0.6882255389718076,0.7152317880794702,0.7231458601034563,0.023373287436637732
0.02986445426940918,0.0018943749065089245,0.016562652587890626,0.0007847708881225509,gini,10,log2,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2'}",0.543046357615894,0.45695364238410596,0.44370860927152317,0.44370860927152317,0.4666666666666667,0.47081677704194264,0.037138195293513226,18,0.7545605306799337,0.724709784411277,0.7529021558872305,0.6865671641791045,0.7218543046357616,0.7281187879586615,0.02486275760742398
0.24389190673828126,0.02060477766009435,0.01729269027709961,0.0006989079900048276,entropy,,,"{'criterion': 'entropy', 'max_depth': None, 'max_features': None}",0.4966887417218543,0.48344370860927155,0.32450331125827814,0.5827814569536424,0.5866666666666667,0.4948167770419426,0.09519843979879322,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04304652214050293,0.006361636423839928,0.018107128143310548,0.0034302788708126986,entropy,,sqrt,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt'}",0.47019867549668876,0.4768211920529801,0.423841059602649,0.5231788079470199,0.49333333333333335,0.47747461368653416,0.032466280112999304,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05132980346679687,0.02508314910565508,0.018205547332763673,0.0012883109849904219,entropy,,log2,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2'}",0.46357615894039733,0.4768211920529801,0.4304635761589404,0.44370860927152317,0.46,0.4549139072847682,0.016150600388203356,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10961928367614746,0.009828273336695063,0.019461870193481445,0.00270634342494349,entropy,5,,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None}",0.5231788079470199,0.44370860927152317,0.39072847682119205,0.6357615894039735,0.5266666666666666,0.5040088300220751,0.08331651728640894,10,0.6650082918739635,0.6666666666666666,0.703150912106136,0.6965174129353234,0.6225165562913907,0.670771967974696,0.028600287330852993
