feature,importance,absolute_importance
trump,-0.009722222222222233,0.009722222222222233
federal,-0.008333333333333349,0.008333333333333349
house,-0.008333333333333349,0.008333333333333349
egg,-0.008333333333333326,0.008333333333333326
response,-0.008333333333333326,0.008333333333333326
said,-0.006944444444444464,0.006944444444444464
payment,-0.006944444444444464,0.006944444444444464
sunday,-0.006944444444444464,0.006944444444444464
president,-0.006944444444444464,0.006944444444444464
leading,-0.006944444444444442,0.006944444444444442
democracy,-0.006944444444444442,0.006944444444444442
regulation,-0.006944444444444442,0.006944444444444442
total,-0.006944444444444442,0.006944444444444442
level,-0.00694444444444442,0.00694444444444442
challenge,-0.00694444444444442,0.00694444444444442
immigration,-0.00694444444444442,0.00694444444444442
age,-0.00694444444444442,0.00694444444444442
doing,-0.00555555555555558,0.00555555555555558
income,-0.00555555555555558,0.00555555555555558
including,-0.005555555555555558,0.005555555555555558
white,-0.005555555555555558,0.005555555555555558
super,-0.005555555555555558,0.005555555555555558
credit,-0.005555555555555558,0.005555555555555558
doe,-0.005555555555555558,0.005555555555555558
twitter,-0.005555555555555558,0.005555555555555558
eligible,-0.005555555555555558,0.005555555555555558
pay,-0.005555555555555558,0.005555555555555558
nonprofit,-0.005555555555555558,0.005555555555555558
monthly,-0.005555555555555558,0.005555555555555558
working,-0.005555555555555558,0.005555555555555558
government,-0.005555555555555536,0.005555555555555536
campaign,-0.005555555555555536,0.005555555555555536
making,-0.005555555555555536,0.005555555555555536
wing,-0.005555555555555536,0.005555555555555536
ice,-0.005555555555555536,0.005555555555555536
democrat,-0.005555555555555536,0.005555555555555536
thing,-0.005555555555555536,0.005555555555555536
make,-0.005555555555555536,0.005555555555555536
work,-0.005555555555555536,0.005555555555555536
program,-0.004166666666666696,0.004166666666666696
lower,-0.004166666666666674,0.004166666666666674
public,-0.004166666666666674,0.004166666666666674
term,-0.004166666666666674,0.004166666666666674
having,-0.004166666666666674,0.004166666666666674
presidential,-0.004166666666666674,0.004166666666666674
lawsuit,-0.004166666666666674,0.004166666666666674
save,-0.004166666666666674,0.004166666666666674
servicer,-0.004166666666666674,0.004166666666666674
forbearance,-0.004166666666666674,0.004166666666666674
attack,-0.004166666666666674,0.004166666666666674
year,-0.004166666666666674,0.004166666666666674
bowl,-0.004166666666666674,0.004166666666666674
time,-0.004166666666666652,0.004166666666666652
director,-0.004166666666666652,0.004166666666666652
wo,-0.004166666666666652,0.004166666666666652
clear,-0.004166666666666652,0.004166666666666652
likely,-0.004166666666666652,0.004166666666666652
protection,-0.004166666666666652,0.004166666666666652
lot,-0.004166666666666652,0.004166666666666652
private,-0.004166666666666652,0.004166666666666652
power,-0.004166666666666652,0.004166666666666652
low,-0.004166666666666652,0.004166666666666652
told,-0.004166666666666652,0.004166666666666652
law,-0.004166666666666652,0.004166666666666652
democratic,-0.004166666666666652,0.004166666666666652
tax,-0.004166666666666652,0.004166666666666652
chief,-0.004166666666666652,0.004166666666666652
given,-0.004166666666666652,0.004166666666666652
able,-0.004166666666666652,0.004166666666666652
continued,-0.004166666666666652,0.004166666666666652
want,-0.004166666666666652,0.004166666666666652
help,-0.004166666666666652,0.004166666666666652
option,-0.004166666666666652,0.004166666666666652
office,-0.004166666666666652,0.004166666666666652
child,-0.00277777777777779,0.00277777777777779
new,-0.00277777777777779,0.00277777777777779
report,-0.00277777777777779,0.00277777777777779
group,-0.00277777777777779,0.00277777777777779
million,-0.00277777777777779,0.00277777777777779
state,-0.00277777777777779,0.00277777777777779
vice,-0.00277777777777779,0.00277777777777779
week,-0.00277777777777779,0.00277777777777779
real,-0.002777777777777768,0.002777777777777768
court,-0.002777777777777768,0.002777777777777768
really,-0.002777777777777768,0.002777777777777768
start,-0.002777777777777768,0.002777777777777768
according,-0.002777777777777768,0.002777777777777768
required,-0.002777777777777768,0.002777777777777768
offer,-0.002777777777777768,0.002777777777777768
cfpb,-0.002777777777777768,0.002777777777777768
certain,-0.002777777777777768,0.002777777777777768
prevent,-0.002777777777777768,0.002777777777777768
financial,-0.002777777777777768,0.002777777777777768
create,-0.002777777777777768,0.002777777777777768
set,-0.002777777777777768,0.002777777777777768
stand,-0.002777777777777768,0.002777777777777768
recently,-0.002777777777777768,0.002777777777777768
default,-0.002777777777777768,0.002777777777777768
check,-0.002777777777777768,0.002777777777777768
official,-0.002777777777777768,0.002777777777777768
hour,-0.002777777777777768,0.002777777777777768
small,-0.002777777777777768,0.002777777777777768
illegal,-0.002777777777777768,0.002777777777777768
push,-0.002777777777777768,0.002777777777777768
filing,-0.002777777777777768,0.002777777777777768
add,-0.002777777777777768,0.002777777777777768
taken,-0.002777777777777768,0.002777777777777768
coming,-0.002777777777777768,0.002777777777777768
situation,-0.002777777777777768,0.002777777777777768
similar,-0.002777777777777768,0.002777777777777768
collection,-0.002777777777777768,0.002777777777777768
project,-0.002777777777777768,0.002777777777777768
qualify,-0.002777777777777768,0.002777777777777768
hit,-0.002777777777777768,0.002777777777777768
history,-0.002777777777777768,0.002777777777777768
world,-0.002777777777777768,0.002777777777777768
consumer,-0.002777777777777768,0.002777777777777768
held,-0.002777777777777768,0.002777777777777768
debt,-0.002777777777777768,0.002777777777777768
need,-0.002777777777777768,0.002777777777777768
actually,-0.002777777777777768,0.002777777777777768
close,-0.002777777777777768,0.002777777777777768
relief,-0.002777777777777768,0.002777777777777768
called,-0.002777777777777768,0.002777777777777768
filed,-0.002777777777777768,0.002777777777777768
effort,-0.002777777777777768,0.002777777777777768
based,-0.002777777777777768,0.002777777777777768
