component_1,component_2,component_3
-5.355651748114759,-3.309398233570101,-5.521143847655725
-4.516904469408767,-2.0863046403352836,-4.73546506801785
3.394216892909601,6.476366770134778,5.065892754390651
-2.7245068479714414,-0.07364167960903455,-2.8571170184313557
-4.516904469408778,-2.086304640335264,-4.735465068017856
-4.592955717937998,-2.8224907600990212,-5.262625643406153
2.7218802856819893,3.8792606007448125,12.1800207914595
-4.937933959193294,-3.083930464727586,-5.145160010820728
-0.5791773455896189,-0.10157990257902186,0.9690110934085757
-4.924878796812993,-2.890626172030634,-5.059317414124007
1.8516565268841363,4.481097230382315,7.727473189967334
-3.889561276581416,-1.7172647033414434,-3.475629783556128
-4.35605194125633,-2.062897178341184,-4.213233083301308
-3.470936043657356,-0.7032754980876543,-4.024573557148645
-2.440547170072267,-0.5853206993560046,-2.9200602541084417
-3.675171908305404,-1.728539818253427,-3.8205850293327104
-3.807507268344394,-2.0147081236135342,-4.269915686385029
-3.9714424185656325,-1.6211623156744657,-3.550146867851514
-2.6325384857607954,-0.9824657292136035,-2.344544345526386
-3.6029202672515446,-1.5839895386913772,-4.210657480047983
-3.696396065491448,-1.3235655168452856,-3.4842264464134147
-3.415866940977506,-1.0455786257965969,-3.7042435310601545
-4.68116243423367,-2.4246158218774734,-4.75744168353592
-2.992193508417516,-0.9496455098908262,-3.1524632930473095
-3.062167300809027,-1.435857914305444,-2.1871241347347468
-3.4684940858396485,-1.0710160163376974,-1.8598302172162027
-2.060577475919241,0.7854410883036594,-0.2222012936219918
-4.865289156075527,-2.8382063390147394,-4.444741403251127
-3.0552316876190595,-1.5428598227782344,-3.9904723734209915
-0.9485260775583065,-0.3992533602661588,0.3712417635044932
-3.974233337010799,-2.3890466145762166,-4.403125611953726
-1.7410278361440705,1.7393865767291914,-0.5456255603137848
-4.907577685463778,-2.9302487918488076,-5.4404466497031985
-4.516904469408778,-2.0863046403352636,-4.735465068017852
-4.882503909647003,-3.0299176528268426,-4.728839009878568
-3.668437166058405,-0.8911451488738408,-2.3645537710663542
-2.8849803745377014,0.6964681385758749,-2.3988107026732
-4.5771265978347335,-1.971660355292329,-3.5266443915053807
-1.428479098271342,0.3373668155023922,-0.5309035678858948
-4.352702510845684,-1.7545373142999017,-3.6465845135298323
-3.8756081166544187,-1.9806705026809954,-2.8027481031727515
3.4849302669311872,1.116892935481568,3.9397739460752557
-2.377212396591635,-1.0036457655155904,-3.328796333748392
2.946730245054983,-0.25383069821899146,4.961385018297521
-0.04472458828968097,1.240542955720342,1.8368426621301577
-5.043907015415856,-3.2266997346770205,-5.160471586231108
-4.516904469408778,-2.0863046403352636,-4.735465068017852
-4.907577685463778,-2.9302487918488076,-5.4404466497031985
-4.516904469408778,-2.0863046403352636,-4.735465068017852
-4.714219334303814,-3.017579134346961,-5.052744675213404
-2.9661270704986404,0.4780381999155018,-0.8539509042568229
-4.336466476142097,-2.68326679372159,-3.9957399225730534
-4.097840448897375,-2.988167189750425,-4.657064783533637
-4.2539072619781075,-1.0944946116731258,-4.996597261452921
-4.516904469408778,-2.0863046403352636,-4.735465068017852
-4.516904469408778,-2.0863046403352636,-4.735465068017852
-4.592955717937998,-2.8224907600990212,-5.262625643406152
-4.126146922725413,-3.01906935156191,-4.698242660195388
-2.974320529349332,-0.21697725962665795,-1.3339539507033202
-4.516904469408778,-2.0863046403352636,-4.735465068017852
-3.997234216407084,-2.835563148151215,-4.738158179770831
-4.218554803418271,-3.0409489078740863,-4.841118447212447
-4.337650215081973,-2.5539991092439585,-4.337439470244477
-5.380478082768043,-3.3469808473760874,-5.571993782642804
-4.536806017176759,-2.8628315827733215,-5.186643897352324
-4.530025526346025,-2.3605864739760287,-4.114056247418597
-4.896499338800558,-2.683403143214899,-4.887876671760544
-4.940691266169488,-2.744813833704203,-5.276014648413995
-4.43234951816483,-2.433399143349904,-3.9158861502848676
-4.149182955324828,-2.62229695646523,-3.19501582316824
-5.129824852450319,-3.315359810555954,-5.543218703016744
-3.300610361579394,-3.049504151287022,-4.495142934559463
-4.365259152451717,-2.2595501269760665,-4.494612115340234
-3.9321582110051456,-1.7602546500638239,-3.4067244869114583
-2.70148855220011,-2.2760120606113676,-2.6707265365158537
-1.8386038937521108,-2.156733422989475,-2.6840082558451295
-4.1048784357617,-2.2418079012816166,-3.919806906623302
-2.1284287861674698,-1.593158168579319,-0.9012513903942122
-2.5599285461856742,-0.20076352426971558,-0.9377152374832294
-4.0136097090443705,-3.2100692205645016,-5.036275083977164
-2.091880538266919,-0.6318775484982221,-2.200183386704723
-4.938269012997404,-2.9975874959511035,-4.152922316794816
-4.72894043087833,-2.4575104410969786,-4.619757825048378
-3.222964738602253,-1.4878068308875865,-3.6740333962413483
-3.712213044037532,-0.2947044872902402,-4.224166062455298
-3.132749412607072,-1.414199466475671,-2.0917790138323964
-3.293807860289665,-1.8233856379459508,-2.7453712553094216
-0.9284992931283776,-0.17649596055712743,1.0763434366415436
-2.7298029242282777,-0.72866218753219,-0.48304825829564396
-2.0726510971030145,-1.0006280987773901,-0.10888022749052854
-4.968729297427744,-3.326016157663251,-5.136215787676184
-2.609726957416507,0.3476818398256186,-0.712926752656188
-4.094417826366001,-3.0013797162197666,-4.377470201274535
-2.3652948021231426,-0.40299698421562635,-1.4497438757725196
-4.599418742927823,-3.106367595899777,-5.338002255324358
-3.082000749642338,-0.6072035991045994,-1.40821757030763
-4.516904469408778,-2.0863046403352636,-4.735465068017852
-4.592955717937998,-2.8224907600990212,-5.262625643406152
