Architecture,Train Accuracy,Train Cost,Train Time,Test Accuracy,Test F1-Score
full_architecture_1,97.67441860465115,0.21608752267486586,22.669227600097656,0.9074074074074074,0.8979591836734694
full_architecture_2,97.20930232558139,0.19110461271146553,32.993706703186035,0.8703703703703703,0.8571428571428571
full_architecture_3,98.13953488372093,0.17847939060747456,40.12109589576721,0.8703703703703703,0.8571428571428571
full_architecture_4,97.67441860465115,0.16760569058579422,51.217177629470825,0.8703703703703703,0.8627450980392157
full_architecture_5,93.02325581395348,0.5781332740438797,30.21148705482483,0.8518518518518519,0.8333333333333334
full_architecture_6,91.16279069767442,0.5881276475714037,36.32047629356384,0.8703703703703703,0.8372093023255814
full_architecture_7,92.55813953488372,0.5937290453589126,44.902552366256714,0.8518518518518519,0.8260869565217391
full_architecture_8,93.95348837209302,0.5365841892989462,63.84226083755493,0.8888888888888888,0.88
full_architecture_9,52.55813953488372,0.6880788295195369,32.27794432640076,0.5740740740740741,0.0
full_architecture_10,52.55813953488372,0.6869610627821255,37.74159860610962,0.5740740740740741,0.0
full_architecture_11,52.55813953488372,0.6878018911889795,48.84891200065613,0.5740740740740741,0.0
full_architecture_12,52.55813953488372,0.6875448223464633,74.75202631950378,0.5740740740740741,0.0
