,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
174,-3.3766228778944476,-1.3137507503758696,-1.0930496911469243,3.4627375442926334,-2.70800469993727,-0.8545818613179892,-0.36295689708679213,1.3965787808263894,0.842622112013266,-2.6977853140198373
217,0.8988867729831601,-1.6782036156173348,-0.6813776801552731,4.585017891080214,-0.9641680195656752,-4.867372288176185,-0.6163669650164959,4.206246348338484,-2.5715768901416096,-1.1424577578220068
162,-4.8703127387283764,-0.014593890692980548,-0.2955342997058435,-2.6964558685698954,0.98278173639449,1.2428384874993448,-1.409066730016536,-1.8406193444712828,0.02571844575637635,-1.8314096840035807
51,27.331444752952613,-0.9476421098945977,10.630468863003582,0.049052519681533666,34.82634634046211,-9.681673186346616,-10.921874799147293,-5.0361854185915105,8.10013121562429,-3.8388918873100266
221,-3.150536439794081,5.554893451089945,-1.032006306615668,-3.317291134187655,-1.716481297041563,-1.207166923867044,-0.36971346751533424,1.008744594327407,0.00915834434638629,0.48397970885448804
2,2.512809059834191,-1.969033086777831,1.6582556164741233,2.213548572849454,0.19017563526803444,-1.8355712439947813,-0.755652298699692,0.6958686515320915,-3.0449799393170074,0.665241088848083
191,-1.7060028715320363,0.4311774408211932,-1.294684438729376,0.07634568308778121,-2.0607111421337536,-2.151660959276053,1.4656172838324923,1.7493533161358161,-0.5129981074898825,-0.9477449853827333
45,-6.927634193295878,-0.1368549561775063,-1.0067068806542725,-3.2440430350888168,-0.5685344749056294,0.4250744974084017,-0.6715990675121757,-0.8221791903262149,-0.36812471213003023,-0.5363241442278793
69,-2.1888622460773157,-0.5229350488514976,0.40725720542578847,2.998461530473126,0.004004873551421618,-2.0133676827138336,-3.4812387647328222,-3.1519116757320993,-0.6946876043427898,2.308194716715859
263,-6.919090386673332,-0.03376058340276139,-0.8475592430397662,-4.001299138392722,-0.36381814396472556,0.5454037249832511,-0.872846068938258,-0.27725866667384186,-0.681683391300848,-0.3977223588773797
135,-3.2979453162603316,-2.2574909963453678,-1.4525740449461872,-2.308316866949358,-0.44301524971508666,4.295017191783517,-0.16542617418462324,-1.8727283464914837,-1.6690510804384489,-0.8504403855969956
47,6.659469638807903,-2.9115376070998176,4.8943700172831255,19.29018092653117,4.522243068550271,0.36332570663656666,5.818503453713113,-13.419722019303919,13.294677632396285,-5.84019510023258
266,-2.823027926239744,-1.1257880150048494,-2.291059671623467,-0.9033911954114486,-1.3140074027071207,0.6634117285359532,-1.6463974692243646,-1.0407749836289042,-1.4810640261772499,-3.365762043265464
155,-2.8552927137386486,-0.6647016144972312,-0.5195362763588144,-2.2990279872805455,1.061919086411315,0.12417393141380151,-2.1723243968708386,-1.1541552645146416,-0.7574689424434478,1.1777071047419119
187,0.4420955728975615,-2.082296428946072,-1.0622936952096687,4.262815905632216,-2.7861719333720005,-1.6328189177816033,5.406414481174616,-1.7623105680249687,0.8754407802297979,-3.8371324175077826
211,0.19099318986261743,-0.4474699675305986,0.9150392109124413,-0.1245602873958166,2.9659170323006974,-2.161764931883024,3.306773663390857,1.1433802616294153,3.3187825069645664,-1.8141833995457817
92,-4.33398426554148,-1.0386364700158468,0.4093282842585454,0.05811873262591886,0.08286828793617493,0.5115814671431248,-4.073392796526572,-1.8211720879857445,-1.7877650525482476,1.8934667676715273
48,-0.30059512474926353,-2.1654154331938,1.801399822631574,6.057367655670774,2.992260094463206,0.5402806706451729,2.7407782778738667,-5.593419550955388,3.2521593153395774,-2.3380817309146704
190,-3.8997656092135906,1.0431198059432907,-0.27116477513738296,-3.3324745752199925,0.7457890965236599,-0.36681952134325596,0.07955311795668817,0.45759277930339715,-0.08667003458013937,-0.058410233683701344
265,-4.727971540145499,2.486560618201011,0.09528083643444989,-4.566316717529064,-0.41928605916852746,0.7024381631801712,-0.8746120505971022,-0.5674850202189019,-1.2328712450762058,-0.9021134205931426
49,13.297340565129165,-7.4241327584464285,7.953313126647824,10.490628789280825,2.908321940443034,35.82558174357702,-9.610441496746073,18.30614002664679,2.4237722863114715,-0.8764834620031003
147,-4.7556709791889356,0.25464017584475246,-0.5306764515854898,-3.2307463608049534,0.6533017888462552,-0.42642033367392906,-2.2127674261282086,0.15673680075534033,-1.2828904187861143,-0.16882986368221747
117,-3.5436899470131493,3.550594006054435,-1.5201297398596625,-2.2577968690114676,-0.8929473095135496,1.8006081753305059,-1.5888727698526615,-0.0007691552839215102,0.34098178518027006,-1.5942234363566805
50,-0.43871580190573295,-3.100578327619411,0.03721460033838055,4.362838912984689,0.23034015904226005,1.9151890614746274,3.6124906057969386,-4.81782727543191,4.338686308495662,-1.8490181440811966
10,2.0262892810440247,-3.119876099344478,0.7077092335117608,9.752343370484159,-1.794765231948116,0.45230719685670856,8.168736201034752,-2.102397153977281,-11.280775277317408,12.161510392151408
232,-3.4326227302828594,-0.1750953122768706,0.18442424868481044,1.0504149437038177,-1.3521460677474562,-0.14517569934547622,-2.8765849304045874,-1.6777047620394938,-0.2891978029793317,3.209303240105223
212,-0.3173657183150704,3.274346642059701,0.8699270572318509,-5.581561570309802,3.5867097101262244,0.29558982114415316,0.36342117192282447,-3.6041502566303416,2.259703875968094,-1.342446859444968
128,-3.162991741270542,0.12063823282320592,-1.0758191280082936,-2.6719628425805215,0.7784216528090945,-0.009943805778603826,-1.9663785037294872,-2.2203648701467342,-0.2913837837218599,-1.3364861165982806
54,-0.6497842509162803,-0.583793749023307,0.7691605594332909,4.817179754771052,0.570909450306205,0.8987359647958808,1.570174758501469,-6.6905971322433055,2.1412000703475553,-0.7601569381104174
122,-2.3900933963033637,3.4227700492846163,-1.4537774358883193,-3.53589984792509,1.1509521263867137,0.9885548998378553,-1.7666830653271655,-0.9013585460026926,-0.060948554462432344,-0.4110342225708177
115,9.819547972791947,4.5708713946588215,6.134056446914133,-4.595150640256488,17.291944918021287,-1.5673910912284656,5.4086373733876725,8.088040418098654,9.281324260826286,0.041501420094355215
112,-5.916980993789306,1.8587590781094723,-0.9550211132773725,-3.4668038070183824,0.14823786748655915,0.24092770195926846,-1.233618895425889,0.04495236578081365,-1.039869065644215,-0.4798601450804835
168,12.712840937996,-3.542685092966141,3.5994815656413603,-5.2226773072354,14.93182223539348,-5.471619422061494,2.32940252678799,10.94899318731779,-10.672715753990524,2.232666630361517
206,1.8366284935265154,0.6051036945949435,-0.695152880831424,-0.14331855831810963,-2.2542319580327015,-1.4038753256945455,1.7931526850223907,4.24354795618301,-0.6238955293847952,0.6308619389783393
55,4.067417070254806,-3.7358611223370666,-1.7426327315491044,2.5208803166237708,0.17628107482613908,0.5399483211179611,5.4886518372576765,-0.836725689737521,-2.8024319619374847,-1.5599625067995657
73,4.608982484638742,-2.8211463302432698,-5.1074922109884495,-5.338703754286823,-5.412843997304396,3.0758909477983325,0.5688905209129004,-0.6554931178744019,-2.545459328083244,-3.2748406438831683
