Architecture,Train Accuracy,Train Cost,Train Time,Test Accuracy,Test F1-Score
pca_architecture_1,73.95348837209302,0.5499052349090437,1.7787935733795166,0.5925925925925926,0.56
pca_architecture_2,76.74418604651163,0.5049107325834501,2.8179430961608887,0.6296296296296297,0.5833333333333334
pca_architecture_3,78.6046511627907,0.49492488149071545,3.820188283920288,0.6666666666666666,0.625
pca_architecture_4,78.13953488372093,0.4640297241686111,5.755036115646362,0.6666666666666666,0.64
pca_architecture_5,59.06976744186046,0.6729009532648026,2.662738084793091,0.7222222222222222,0.5714285714285714
pca_architecture_6,72.09302325581395,0.6286985122331306,5.749769449234009,0.6481481481481481,0.5957446808510638
pca_architecture_7,73.48837209302326,0.6281922596038781,8.960502862930298,0.6851851851851852,0.6530612244897959
pca_architecture_8,77.67441860465117,0.5455575024161152,15.360956907272339,0.6481481481481481,0.6122448979591837
pca_architecture_9,52.093023255813954,0.6885683524272815,3.579454183578491,0.5925925925925926,0.0
pca_architecture_10,52.093023255813954,0.6838749097849308,7.945455551147461,0.5925925925925926,0.0
pca_architecture_11,52.093023255813954,0.680249962924497,11.698007106781006,0.5925925925925926,0.0
pca_architecture_12,52.093023255813954,0.6800758679714263,23.548990726470947,0.5925925925925926,0.0
